year,continent,region,country,happiness rank,happiness score
2014,Europe,Western Europe,Switzerland,1,7.587000000000001
2014,Europe,Northern Europe,Iceland,2,7.561
2014,Europe,Northern Europe,Denmark,3,7.527
2014,Europe,Northern Europe,Norway,4,7.522
2014,America,Northern America,Canada,5,7.4270000000000005
2014,Europe,Northern Europe,Finland,6,7.406000000000001
2014,Europe,Western Europe,Netherlands,7,7.377999999999999
2014,Europe,Northern Europe,Sweden,8,7.364
2014,Oceania,Australia and New Zealand,New Zealand,9,7.2860000000000005
2014,Oceania,Australia and New Zealand,Australia,10,7.284
2014,Asia,Western Asia,Israel,11,7.278
2014,America,Central America,Costa Rica,12,7.226
2014,Europe,Western Europe,Austria,13,7.2
2014,America,Central America,Mexico,14,7.187
2014,America,Northern America,United States,15,7.119
2014,America,South America,Brazil,16,6.983
2014,Europe,Western Europe,Luxembourg,17,6.946000000000001
2014,Europe,Northern Europe,Ireland,18,6.94
2014,Europe,Western Europe,Belgium,19,6.937
2014,Asia,Western Asia,United Arab Emirates,20,6.901
2014,Europe,Northern Europe,United Kingdom,21,6.867000000000001
2014,Asia,Western Asia,Oman,22,6.853
2014,America,South America,Venezuela,23,6.81
2014,Asia,South-Eastern Asia,Singapore,24,6.797999999999999
2014,America,Central America,Panama,25,6.7860000000000005
2014,Europe,Western Europe,Germany,26,6.75
2014,America,South America,Chile,27,6.67
2014,Asia,Western Asia,Qatar,28,6.611000000000001
2014,Europe,Western Europe,France,29,6.575
2014,America,South America,Argentina,30,6.574
2014,Europe,Eastern Europe,Czech Republic,31,6.505
2014,America,South America,Uruguay,32,6.485
2014,America,South America,Colombia,33,6.477
2014,Asia,South-Eastern Asia,Thailand,34,6.455
2014,Asia,Western Asia,Saudi Arabia,35,6.4110000000000005
2014,Europe,Southern Europe,Spain,36,6.329
2014,Europe,Southern Europe,Malta,37,6.3020000000000005
2014,Asia,Eastern Asia,Taiwan,38,6.297999999999999
2014,Asia,Western Asia,Kuwait,39,6.295
2014,America,South America,Suriname,40,6.269
2014,America,Caribbean,Trinidad and Tobago,41,6.167999999999999
2014,America,Central America,El Salvador,42,6.13
2014,America,Central America,Guatemala,43,6.122999999999999
2014,Asia,Central Asia,Uzbekistan,44,6.002999999999999
2014,Europe,Eastern Europe,Slovakia,45,5.995
2014,Asia,Eastern Asia,Japan,46,5.987
