Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Afghanistan,AFG,1806.76392975325,1874.7656344942,1897.52593759521,1886.69297690361,1896.99251957482,1934.63675412035,1951.55850377515
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Albania,ALB,10526.2356037242,10571.0133906469,11259.2288794822,11662.0343838096,11868.1779203019,12930.1372840019,13325.5546303723
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Algeria,DZA,13479.6805812833,13816.360047887,14317.0427180114,14710.730106735,15050.4321898664,15266.4852082981,15621.8594434799
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Andorra,AND,..,..,..,..,..,..,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Angola,AGO,6772.528333315,6980.42303770718,7199.24547788095,7096.60061495221,6756.93507436951,6650.58493984778,6440.97627017565
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Antigua and Barbuda,ATG,20779.8250306909,20867.0284600856,22000.7502830601,22882.9702199058,24177.9597202438,25145.5412294362,26739.4681931788
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Argentina,ARG,19764.2250139108,20365.6133493801,20008.3206437752,20551.8331920467,20130.4080257871,20843.1550677175,20567.3017921066
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Armenia,ARM,7649.06153123358,8003.0877626689,8405.07365471786,8727.38544723722,8808.57271425944,9620.81849100036,10324.9351325866
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Aruba,ABW,35498.9820893212,37419.8928174534,38223.3722610314,38249.054868576,38390.2716491653,39454.6298308169,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Australia,AUS,42826.789579996,45902.047948361,46880.2206571585,46270.1973987065,47352.1116091306,49653.7158885249,51601.7839544281
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Austria,AUT,46457.3457770311,47922.0491207455,48799.7154676985,49877.7133112879,51655.5030888825,53879.2978545168,55509.5930557893
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Azerbaijan,AZE,16193.3956654319,17216.1785349866,17808.9018991513,17973.0906672263,17417.0866946634,17525.2796310656,18012.3154821748
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,"Bahamas, The",BHS,30656.0767543286,30762.7939391795,31005.8010980643,31362.4791822494,30862.5383550076,31581.1043896488,..
"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,Bahrain,BHR,41754.6896622274,44274.9670633247,46333.3989015602,46912.9041636047,47215.5509961317,47660.4799076737,47219.8410519512
