Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Afghanistan,AFG,3.4,4.1,6.3,..,..,10,6.6,7.1,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Albania,ALB,4.3,4.9,5.4,4.2,4,2.8,3.4,2.3,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Algeria,DZA,0.7,0.8,1.4,1.3,1.5,1.4,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,American Samoa,ASM,9,9,3.6,5.4,5.4,7.2,5.4,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Andorra,AND,0,1.2,0,0,0,0,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Angola,AGO,..,4.4,4.8,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Antigua and Barbuda,ATG,6.3,..,10.3,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Argentina,ARG,..,..,..,..,7.5,6.5,6,5.1,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Armenia,ARM,1.9,2.5,2.3,2.2,2.5,2.6,3,2.4,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Aruba,ABW,3.9,2,3.9,5.8,1.9,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Australia,AUS,1,1.1,1.1,1.1,1,1,0.9,0.8,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Austria,AUT,0.7,0.9,0.9,0.7,0.5,0.5,0.7,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Azerbaijan,AZE,2.3,..,2.2,2.4,2.5,2.3,2.1,2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,"Bahamas, The",BHS,26.1,34.6,29.8,31.5,32.4,37.7,28.4,30.9,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bahrain,BHR,0.9,0.5,0.3,0.4,0.5,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bangladesh,BGD,2.6,2.6,2.6,2.8,2.8,2.5,2.2,2.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Barbados,BRB,11.1,9.6,7.8,8.5,8.8,10.9,7.7,10.5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Belarus,BLR,4.2,3.9,3.6,3.5,3.6,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Belgium,BEL,1.7,1.9,1.8,1.8,1.9,2,1.5,1.7,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Belize,BLZ,40.1,37.7,43.1,28.8,35,33.1,37.6,37.9,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Benin,BEN,..,..,..,..,..,..,..,1.1,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bermuda,BMU,10.9,12.6,9.5,8,6.4,6.5,13,8.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bhutan,BTN,2.2,4.3,4.4,3.1,..,1.5,1.1,1.6,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bolivia,BOL,12.8,12.3,11.9,9,8.9,6.3,6.3,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bosnia and Herzegovina,BIH,1.5,1.4,1.7,1.3,1.4,1.6,1.3,1.2,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Botswana,BWA,15,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Brazil,BRA,22,24.2,26.5,26.8,28.6,28.4,29.7,30.5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Brunei Darussalam,BRN,0.3,0.3,1,0.5,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Bulgaria,BGR,2,1.7,1.9,1.5,1.6,1.8,1.1,1.5,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Burkina Faso,BFA,0.8,0.6,0.7,0.7,0.7,0.6,1.1,1.3,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Burundi,BDI,4,3.9,5.4,5.4,5.7,4.5,6,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Cabo Verde,CPV,7.8,10.4,10.9,10.4,12.3,8.6,11.5,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Cambodia,KHM,2.3,1.8,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Cameroon,CMR,5,4.1,4.2,..,1,1.2,1.2,1.4,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Canada,CAN,1.6,1.8,1.6,1.4,1.5,1.7,1.7,1.8,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Cayman Islands,CYM,16.2,..,..,8.6,8.4,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Central African Republic,CAF,..,..,..,..,..,..,19.8,..,..
