Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Individuals using the Internet (% of population),IT.NET.USER.ZS,Afghanistan,AFG,7,8.26,11.2,13.5,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Albania,ALB,60.1,63.2529327,66.3634447,71.8470405,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Algeria,DZA,29.5,38.2,42.94552688,47.69105515,59.57968476
Individuals using the Internet (% of population),IT.NET.USER.ZS,American Samoa,ASM,..,..,..,..,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Andorra,AND,95.9,96.91,97.93063712,91.56746703,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Angola,AGO,21.4,12.4,13,14.33907936,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Antigua and Barbuda,ATG,67.78,70,73,76,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Argentina,ARG,64.7,68.04306411,70.96898082,74.29490687,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Armenia,ARM,54.62280586,59.10237771,64.34602977,64.74488433,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Aruba,ABW,83.78,88.66122693,93.54245387,97.17,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Australia,AUS,84,84.56051935,86.54,86.54504885,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Austria,AUT,80.99582496,83.94014193,84.32374257,87.93558659,87.71046495
Individuals using the Internet (% of population),IT.NET.USER.ZS,Azerbaijan,AZE,75.00001564,77,78.2,79,79.79999549
Individuals using the Internet (% of population),IT.NET.USER.ZS,"Bahamas, The",BHS,76.92,78,80,85,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bahrain,BHR,90.50313348,93.47830114,97.9999807,95.87813575,98.64342901
Individuals using the Internet (% of population),IT.NET.USER.ZS,Bangladesh,BGD,13.9,14.4,18.02,15,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Barbados,BRB,75.16,76.11,79.54939789,81.76077839,..
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belarus,BLR,59.02,62.23036091,71.11304576,74.43644541,79.12988669
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belgium,BEL,85,85.0529,86.51647666,87.67968082,88.65506428
Individuals using the Internet (% of population),IT.NET.USER.ZS,Belize,BLZ,38.7,41.59,44.57574032,47.0826258,..
